Codigodo fundo,Setor,Preco Atual,Liquidez Diaria,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Media,DY (6M)Media,DY (12M)Media,DY Ano,Variacao Preco,Rentab.Periodo,Rentab.Acumulada,PatrimonioLiq.,VPA,P/VPA,DYPatrimonial,VariacaoPatrimonial,Rentab. Patr.no Periodo,Rentab. Patr.Acumulada,VacanciaFisica,VacanciaFinanceira,QuantidadeAtivos
VILG11,Logistica,"R$ 117,53",37850.0,"R$ 0,45","0,38%","1,36%","2,65%","5,37%","0,45%","0,44%","0,45%","1,36%","-4,46%","-4,10%","-1,15%","R$ 1.715.440.589,03","R$ 114,38","1,03",N/A,N/A,N/A,N/A,"1,10%",N/A,13
VCJR11,Titulos e Val. Mob.,"R$ 102,98",7909.0,"R$ 0,60","0,57%","1,96%","4,77%","7,71%","0,65%","0,79%","0,64%","1,96%","-0,46%","0,11%","1,01%","R$ 1.141.413.861,35","R$ 98,36","1,05",N/A,N/A,N/A,N/A,N/A,N/A,0
TGAR11,Outros,"R$ 140,20",29445.0,"R$ 1,30","0,95%","2,59%","5,26%","10,47%","0,86%","0,88%","0,87%","2,59%","-4,39%","-3,48%","-2,17%","R$ 952.034.746,67","R$ 128,68","1,09",N/A,N/A,N/A,N/A,N/A,N/A,0
KFOF11,Titulos e Val. Mob.,"R$ 95,90",3111.0,"R$ 0,55","0,58%","1,61%","2,96%","5,93%","0,54%","0,49%","0,49%","1,61%","-6,60%","-6,06%","-5,75%","R$ 473.325.166,32","R$ 104,41","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
KNRI11,Hibrido,"R$ 150,30",21264.0,"R$ 0,69","0,45%","1,32%","2,54%","4,91%","0,44%","0,42%","0,41%","1,32%","-3,51%","-3,08%","-3,16%","R$ 3.751.807.943,34","R$ 155,32","0,97",N/A,N/A,N/A,N/A,"6,44%","11,02%",20
MXRF11,Hibrido,"R$ 10,58",616723.0,"R$ 0,08","0,77%","2,26%","4,07%","7,99%","0,75%","0,68%","0,67%","2,26%","-3,70%","-2,96%","0,16%","R$ 2.020.557.088,53","R$ 10,09","1,05",N/A,N/A,N/A,N/A,N/A,N/A,0
HUSC11,Outros,"R$ 131,50",21.0,"R$ 0,73","0,53%","1,48%","2,93%","5,10%","0,49%","0,49%","0,43%","1,48%","-10,73%","-10,25%","-9,33%","R$ 103.056.744,44","R$ 129,69","1,01",N/A,N/A,N/A,N/A,N/A,N/A,0
BCRI11,Titulos e Val. Mob.,"R$ 116,85",14469.0,"R$ 1,15","1,01%","2,65%","5,62%","9,82%","0,88%","0,94%","0,82%","2,65%","0,50%","1,51%","-0,95%","R$ 472.146.976,85","R$ 107,31","1,09",N/A,N/A,N/A,N/A,N/A,N/A,0
HSML11,Shoppings,"R$ 87,10",21942.0,"R$ 0,16","0,18%","1,13%","2,67%","4,28%","0,38%","0,45%","0,36%","1,13%","-4,59%","-4,41%","-9,21%","R$ 1.533.108.424,80","R$ 97,15","0,90",N/A,N/A,N/A,N/A,"5,50%",N/A,5
XPPR11,Outros,"R$ 67,25",21933.0,"R$ 0,48","0,70%","1,98%","4,24%","9,30%","0,66%","0,71%","0,78%","1,98%","-2,85%","-2,17%","-13,33%","R$ 638.121.228,42","R$ 87,22","0,77",N/A,N/A,N/A,N/A,"38,00%",N/A,4
VSHO11,Shoppings,"R$ 70,55",1555.0,"R$ 0,10","0,14%","0,40%","0,73%","4,23%","0,13%","0,12%","0,35%","0,40%","-6,11%","-5,98%","-13,14%","R$ 210.921.506,35","R$ 100,50","0,70",N/A,N/A,N/A,N/A,"6,81%",N/A,3
XPLG11,Logistica,"R$ 115,18",38956.0,"R$ 0,59","0,51%","1,47%","2,85%","5,59%","0,49%","0,48%","0,47%","1,47%","-3,59%","-3,10%","-2,81%","R$ 3.001.645.978,98","R$ 110,76","1,04",N/A,N/A,N/A,N/A,"8,20%","3,20%",13
GTWR11,Lajes Corporativas,"R$ 106,49",16005.0,"R$ 0,67","0,63%","1,89%","3,68%","7,22%","0,63%","0,61%","0,60%","1,89%","0,00%","0,63%","0,55%","R$ 1.209.548.145,81","R$ 100,80","1,06",N/A,N/A,N/A,N/A,"0,00%","0,00%",1
BPFF11,Titulos e Val. Mob.,"R$ 77,36",23898.0,"R$ 0,57","0,74%","2,17%","4,11%","7,71%","0,72%","0,68%","0,64%","2,17%","-2,54%","-1,82%","-2,02%","R$ 382.326.190,25","R$ 85,11","0,91",N/A,N/A,N/A,N/A,N/A,N/A,0
RBFF11,Titulos e Val. Mob.,"R$ 67,57",10353.0,"R$ 0,50","0,74%","1,91%","4,14%","7,91%","0,64%","0,69%","0,66%","1,91%","-6,47%","-5,78%","-8,12%","R$ 274.644.002,77","R$ 73,30","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
BRCO11,Logistica,"R$ 109,53",16635.0,"R$ 0,54","0,48%","1,45%","2,83%","5,54%","0,48%","0,47%","0,46%","1,45%","-0,71%","-0,23%","-0,68%","R$ 1.602.722.548,57","R$ 108,45","1,01",N/A,N/A,N/A,N/A,"3,30%","0,00%",10
CTXT11,Lajes Corporativas,"R$ 28,50",354.0,"R$ 0,05","0,17%","0,58%","2,41%","7,06%","0,19%","0,40%","0,59%","0,58%","-10,37%","-10,22%","-23,25%","R$ 125.469.665,32","R$ 48,36","0,59",N/A,N/A,N/A,N/A,"58,00%",N/A,1
