Codigodo fundo,Setor,Preco Atual,Liquidez Diaria,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Media,DY (6M)Media,DY (12M)Media,DY Ano,Variacao Preco,Rentab.Periodo,Rentab.Acumulada,PatrimonioLiq.,VPA,P/VPA,DYPatrimonial,VariacaoPatrimonial,Rentab. Patr.no Periodo,Rentab. Patr.Acumulada,VacanciaFisica,VacanciaFinanceira,QuantidadeAtivos
OURE11,Titulos e Val. Mob.,"R$ 89,34",542.0,"R$ 0,75","0,83%","2,17%","4,90%","8,81%","0,72%","0,82%","0,73%","2,17%","-2,01%","-1,20%","-2,50%","R$ 82.837.286,05","R$ 99,58","0,90",N/A,N/A,N/A,N/A,N/A,N/A,0
XPML11,Shoppings,"R$ 106,21",26023.0,"R$ 0,15","0,14%","0,69%","2,05%","3,15%","0,23%","0,34%","0,26%","0,69%","2,64%","2,78%","-4,29%","R$ 2.006.411.657,54","R$ 110,20","0,96",N/A,N/A,N/A,N/A,"5,20%",N/A,13
BTLG11,Logistica,"R$ 113,00",52821.0,"R$ 0,63","0,56%","1,60%","3,24%","6,06%","0,53%","0,54%","0,51%","1,60%","-1,73%","-1,18%","-3,77%","R$ 1.309.829.892,03","R$ 100,88","1,12",N/A,N/A,N/A,N/A,"0,00%","0,00%",12
FCFL11,Outros,"R$ 110,00",6250.0,"R$ 0,61","0,56%","1,60%","2,99%","5,99%","0,53%","0,50%","0,50%","1,60%","-2,22%","-1,68%","-1,28%","R$ 352.271.509,56","R$ 101,40","1,08",N/A,N/A,N/A,N/A,"0,00%",N/A,1
BRLA11,Hibrido,N/A,N/A,"R$ 0,97","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 122.505.179,38","R$ 125,49",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
HRDF11,Hibrido,"R$ 1,70",1410.0,"R$ 6,80",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 13.751.330,15","R$ 1,81","0,94",N/A,N/A,N/A,N/A,N/A,N/A,0
CJCT11,Lajes Corporativas,"R$ 62,00",2621.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 182.926.242,57","R$ 67,50","0,92",N/A,N/A,N/A,N/A,"59,00%",N/A,1
HCRI11,Hospital,"R$ 453,00",437.0,"R$ 3,08",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 60.625.329,85","R$ 303,13","1,49",N/A,N/A,N/A,N/A,"0,00%",N/A,1
AFOF11,Titulos e Val. Mob.,"R$ 183,98",5.0,"R$ 8,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 39.057.853,78","R$ 106,39","1,73",N/A,N/A,N/A,N/A,N/A,N/A,0
VVPR11,Hibrido,"R$ 98,72",1865.0,"R$ 0,62",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 231.091.836,17","R$ 100,22","0,99",N/A,N/A,N/A,N/A,"0,00%",N/A,6
BPML11,Shoppings,"R$ 87,99",780.0,"R$ 0,61",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 593.265.060,03","R$ 137,81","0,64",N/A,N/A,N/A,N/A,"5,60%",N/A,7
KINP11,Residencial,"R$ 13,83",262.0,"R$ 0,19",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 61.010.884,15","R$ 8,54","1,62",N/A,N/A,N/A,N/A,N/A,N/A,0
PLOG11,"","R$ 94,95",118.0,"R$ 0,04",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 71.718.868,95","R$ 95,63","0,99",N/A,N/A,N/A,N/A,"0,00%",N/A,1
LFTT11,Residencial,"R$ 105,00",41.0,"R$ 0,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 365.605.185,72","R$ 56,91","1,85",N/A,N/A,N/A,N/A,N/A,N/A,0
RNDP11,Titulos e Val. Mob.,"R$ 674,97",30.0,"R$ 175,00","21,54%","22,45%","23,89%","26,10%","7,48%","3,98%","2,17%","22,86%","-2,11%","18,98%","28,29%","R$ 100.962.386,98","R$ 939,35","0,72",N/A,N/A,N/A,N/A,N/A,N/A,0
FLRP11,Shoppings,"R$ 1.319,96",33.0,"R$ 5,65","0,43%","1,38%","2,40%","0,00%","0,46%","0,40%","0,00%","1,38%","0,00%","0,43%","0,61%","R$ 108.310.101,43","R$ 1.660,38","0,79",N/A,N/A,N/A,N/A,"1,24%",N/A,1
BTAL11,Outros,"R$ 104,30",25585.0,"R$ 0,35","0,34%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,34%","0,00%","0,34%","0,34%","R$ 599.475.171,69","R$ 100,20","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
SEQR11,Outros,"R$ 92,03",1357.0,"R$ 0,67","0,73%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,73%","0,00%","0,73%","0,73%","R$ 155.646.919,90","R$ 105,02","0,88",N/A,N/A,N/A,N/A,N/A,N/A,0
MGCR11,Titulos e Val. Mob.,"R$ 101,90",3425.0,"R$ 0,95","0,94%","2,58%","0,00%","0,00%","0,86%","0,00%","0,00%","2,58%","1,95%","2,91%","7,70%","R$ 68.736.081,82","R$ 95,48","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
BLMG11,Outros,"R$ 104,03",5669.0,"R$ 0,73","0,69%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,38%","0,00%","0,69%","1,39%","R$ 189.043.776,02","R$ 99,50","1,05",N/A,N/A,N/A,N/A,"0,00%",N/A,1
CNES11,Lajes Corporativas,"R$ 42,46",4080.0,"R$ 0,08","0,18%","0,72%","1,82%","3,98%","0,24%","0,30%","0,33%","0,72%","-7,93%","-7,77%","-19,53%","R$ 270.777.027,80","R$ 91,81","0,46",N/A,N/A,N/A,N/A,"36,30%",N/A,1
VGHF11,Titulos e Val. Mob.,"R$ 9,55",32646.0,"R$ 0,07",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 160.146.466,10","R$ 9,72","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
ERCR11,Hibrido,"R$ 90.000,00",1.0,"R$ 1,26",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 222.673.897,46","R$ 93.717,97","0,96",N/A,N/A,N/A,N/A,N/A,N/A,0
BLMC11,Outros,N/A,N/A,"R$ 0,33","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 9.934.269,90","R$ 99,34",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EDGA11,Lajes Corporativas,"R$ 26,75",2572.0,"R$ 0,15","0,55%","1,55%","0,00%","0,00%","0,52%","0,00%","0,00%","1,55%","-0,23%","0,32%","-13,23%","R$ 300.073.035,69","R$ 78,72","0,34",N/A,N/A,N/A,N/A,"46,26%",N/A,1
